Date,Price
2009-08-12,5.667303
2009-08-13,5.621921
2009-08-14,5.587883
2009-08-17,5.559517
2009-08-18,5.616245
2009-08-19,5.644608
2009-08-20,5.701341
2009-08-21,5.809124
2009-08-24,5.826145
2009-08-25,5.831819
2009-08-26,5.928257
2009-08-27,5.916911
2009-08-28,5.990664
2009-08-31,5.894218
2009-09-01,5.809124
2009-09-02,5.763742
2009-09-03,5.814802
2009-09-04,5.916911
2009-09-08,5.911241
2009-09-09,5.94528
2009-09-10,5.96797
2009-09-11,6.0247
2009-09-14,6.007682
2009-09-15,6.047391
2009-09-16,6.138159
2009-09-17,6.223255
2009-09-18,6.211906
2009-09-21,6.206235
2009-09-22,6.257294
2009-09-23,6.29133
2009-09-24,6.200561
2009-09-25,6.14932
2009-09-28,6.201138
2009-09-29,6.155075
2009-09-30,6.333568
2009-10-01,6.172349
2009-10-02,6.057194
2009-10-05,6.143562
2009-10-06,6.229925
2009-10-07,6.247203
2009-10-08,6.258716
2009-10-09,6.224168
2009-10-13,6.160832
2009-10-14,6.229925
2009-10-15,6.224168
2009-10-16,6.166594
2009-10-19,6.172349
2009-10-20,6.097499
2009-10-21,6.01113
2009-10-22,6.080227
2009-10-23,6.103255
2009-10-26,6.045677
2009-10-27,6.045677
2009-10-28,6.051436
2009-10-29,6.189622
2009-10-30,6.172349
2009-11-02,6.080227
2009-11-03,6.160832
2009-11-04,6.166594
2009-11-05,6.241442
2009-11-06,6.212654
2009-11-09,6.224168
2009-11-10,6.27599
2009-11-11,6.224168
2009-11-12,6.206896
2009-11-13,6.189622
2009-11-16,6.258716
2009-11-17,6.322051
2009-11-18,6.385386
2009-11-19,6.304776
2009-11-20,6.310536
2009-11-23,6.310536
2009-11-24,6.247203
2009-11-25,6.304776
2009-11-26,6.25296
2009-11-27,6.27023
2009-11-30,6.25296
2009-12-01,6.287506
2009-12-02,6.29902
2009-12-03,6.29326
2009-12-04,6.29326
2009-12-07,6.350842
2009-12-08,6.322051
2009-12-09,6.287506
2009-12-10,6.333568
2009-12-11,6.391147
2009-12-14,6.442968
2009-12-15,6.494785
2009-12-16,6.460237
2009-12-17,6.45448
2009-12-18,6.437208
2009-12-21,6.546606
2009-12-22,6.615697
2009-12-23,6.667522
2009-12-24,6.807766
2009-12-29,6.737641
2009-12-30,6.696739
2009-12-31,6.778547
2010-01-04,6.76686
2010-01-05,6.772706
2010-01-06,6.743484
2010-01-07,6.796076
2010-01-08,6.842825
2010-01-11,6.877889
2010-01-12,6.842825
2010-01-13,6.854511
2010-01-14,6.907104
2010-01-15,6.889573
2010-01-18,6.895416
2010-01-19,6.90126
2010-01-20,6.959696
2010-01-21,6.848671
2010-01-22,6.796076
2010-01-25,6.877889
2010-01-26,6.872042
2010-01-27,6.90126
2010-01-28,7.000601
2010-01-29,6.91295
2010-02-01,6.971389
2010-02-02,7.094099
2010-02-03,7.029821
2010-02-04,6.953851
2010-02-05,6.907104
2010-02-08,6.883734
2010-02-09,6.761018
2010-02-10,6.720112
2010-02-11,6.685046
2010-02-12,6.673361
2010-02-16,6.743484
2010-02-17,6.813609
2010-02-18,6.831141
2010-02-19,6.90126
2010-02-22,6.91295
2010-02-23,6.866205
2010-02-24,6.883734
2010-02-25,6.930477
2010-02-26,7.012294
2010-03-01,7.053195
2010-03-02,7.064882
2010-03-03,7.047352
2010-03-04,7.035665
2010-03-05,7.05904
2010-03-08,7.088257
2010-03-09,7.105792
2010-03-10,7.111629
2010-03-11,7.140848
2010-03-12,7.135002
2010-03-15,7.123321
2010-03-16,7.135002
2010-03-17,7.181757
2010-03-18,7.123321
2010-03-19,7.070727
2010-03-22,7.05904
2010-03-23,7.082411
2010-03-24,7.129164
2010-03-25,7.140848
2010-03-26,7.105465
2010-03-29,7.134953
2010-03-30,7.134953
2010-03-31,7.040604
2010-04-01,7.075989
2010-04-05,7.081882
2010-04-06,7.08778
2010-04-07,7.005226
2010-04-08,6.963948
2010-04-09,6.946262
2010-04-12,6.969848
2010-04-13,7.017018
2010-04-14,7.081882
2010-04-15,7.052403
2010-04-16,7.017018
2010-04-19,7.08778
2010-04-20,7.099571
2010-04-21,7.182126
2010-04-22,7.152646
2010-04-23,7.164436
2010-04-26,7.17033
2010-04-27,7.081882
2010-04-28,7.064192
2010-04-29,7.14674
2010-04-30,7.205707
2010-05-03,7.270577
2010-05-04,7.158542
2010-05-05,7.105465
2010-05-06,6.999331
2010-05-07,6.946262
2010-05-10,7.117264
2010-05-11,7.117264
2010-05-12,7.211609
2010-05-13,7.205707
2010-05-14,7.158542
2010-05-17,7.123159
2010-05-18,7.093676
2010-05-19,7.058296
2010-05-20,6.816529
2010-05-21,6.857808
2010-05-25,6.916772
2010-05-26,6.934467
2010-05-27,7.093676
2010-05-28,7.075989
2010-05-31,7.017018
2010-06-01,7.011122
2010-06-02,7.129049
2010-06-03,7.111362
2010-06-04,6.993432
2010-06-07,6.946262
2010-06-08,6.946262
2010-06-09,6.952152
2010-06-10,7.093676
2010-06-11,7.052403
2010-06-14,7.129049
2010-06-15,7.235199
2010-06-16,7.282372
2010-06-17,7.305951
2010-06-18,7.252885
2010-06-21,7.258785
2010-06-22,7.193919
2010-06-23,7.241092
2010-06-24,7.182126
2010-06-25,7.254004
2010-06-28,7.242024
2010-06-29,7.146182
2010-06-30,7.14019
2010-07-02,7.206085
2010-07-05,7.152173
2010-07-06,7.242024
2010-07-07,7.355838
2010-07-08,7.349851
2010-07-09,7.319895
2010-07-12,7.331881
2010-07-13,7.421731
2010-07-14,7.41574
2010-07-15,7.403761
2010-07-16,7.367817
2010-07-19,7.40975
2010-07-20,7.499599
2010-07-21,7.47564
2010-07-22,7.529555
2010-07-23,7.505589
2010-07-26,7.565489
2010-07-27,7.552852
2010-07-28,7.552852
2010-07-29,7.570913
2010-07-30,7.613033
2010-08-03,7.6672
2010-08-04,7.655162
2010-08-05,7.576924
2010-08-06,7.600996
2010-08-09,7.625075
2010-08-10,7.673218
2010-08-11,7.558874
2010-08-12,7.594979
2010-08-13,7.649145
2010-08-16,7.685253
2010-08-17,7.787562
2010-08-18,7.847744
2010-08-19,7.787562
2010-08-20,7.781543
2010-08-23,7.841726
2010-08-24,7.823669
2010-08-25,7.901908
2010-08-26,7.932137
2010-08-27,7.956324
2010-08-30,7.968417
2010-08-31,7.986549
2010-09-01,8.010735
2010-09-02,8.047008
2010-09-03,8.107471
2010-09-07,8.08933
2010-09-08,8.083282
2010-09-09,8.083282
2010-09-10,8.16188
2010-09-13,8.23443
2010-09-14,8.325118
2010-09-15,8.313026
2010-09-16,8.180019
2010-09-17,8.08933
2010-09-20,8.252569
2010-09-21,8.288844
2010-09-22,8.337211
2010-09-23,8.270703
2010-09-24,8.319072
2010-09-27,8.326974
2010-09-28,8.393829
2010-09-29,8.39991
2010-09-30,8.442457
2010-10-01,8.405991
2010-10-04,8.363441
2010-10-05,8.387754
2010-10-06,8.339124
2010-10-07,8.345205
2010-10-08,8.381675
2010-10-12,8.418142
2010-10-13,8.405991
2010-10-14,8.381675
2010-10-15,8.375601
2010-10-18,8.405991
2010-10-19,8.387754
2010-10-20,8.466769
2010-10-21,8.466769
2010-10-22,8.509316
2010-10-25,8.570095
2010-10-26,8.595745
2010-10-27,8.565211
2010-10-28,8.565211
2010-10-29,8.540791
2010-11-01,8.571316
2010-11-02,8.595745
2010-11-03,8.571316
2010-11-04,8.607944
2010-11-05,8.571316
2010-11-08,8.662891
2010-11-09,8.540791
2010-11-10,8.375953
2010-11-11,8.314912
2010-11-12,8.168388
2010-11-15,8.241652
2010-11-16,8.180601
2010-11-17,8.241652
2010-11-18,8.296597
2010-11-19,8.302701
2010-11-22,8.247756
2010-11-23,8.211128
2010-11-24,8.260185
2010-11-25,8.309243
2010-11-26,8.370566
2010-11-29,8.290845
2010-11-30,8.204993
2010-12-01,8.266315
2010-12-02,8.260185
2010-12-03,8.29698
2010-12-06,8.254054
2010-12-07,8.162069
2010-12-08,8.137541
2010-12-09,8.113008
2010-12-10,8.100742
2010-12-13,8.14367
2010-12-14,8.113008
2010-12-15,8.174332
2010-12-16,8.137541
2010-12-17,8.106879
2010-12-20,8.174332
2010-12-21,8.204993
2010-12-22,8.24179
2010-12-23,8.272451
2010-12-24,8.277379
2010-12-29,8.29587
2010-12-30,8.302034
2010-12-31,8.302034
2011-01-04,8.375992
